Customer_ID,Age,Gender,City,Monthly_Income,Balance,Credit_Score,Account_Type,Loan_Amount,Loan_Status,Transaction_Count,Transaction_Value,Customer_Since,Quality_Score,Churn_Risk,Fraud_Flag
100022,50,Male,Hyderabad,75714,411280,666,Savings,1884597,Closed,46,177777,2017-11-26,10,Medium,No
100023,41,Male,Bangalore,155294,1208454,840,Current,1725928,Active,80,174167,2019-10-25,10,Low,No
100024,20,Female,Hyderabad,102991,620712,626,Savings,1582620,"No Loan",63,230654,2023-11-22,10,Medium,No
100025,56,Male,Bangalore,69592,394522,684,Savings,1045990,"No Loan",44,179566,2017-08-29,10,Medium,No
100026,68,Male,Hyderabad,62097,159209,635,Savings,718030,Active,33,144270,2021-06-10,9.48,Medium,No
100027,69,Female,Chennai,125285,654300,557,Savings,2555797,Active,31,22709,2023-01-10,10,High,No
100028,47,Male,Mumbai,243687,1549008,773,Current,4701185,Active,95,365578,2018-10-01,10,Low,No
100029,54,Female,Vizag,71990,328986,778,Savings,609459,Active,29,107754,2016-05-02,10,Low,No
100030,62,Male,Mumbai,184572,1186314,571,Savings,3617756,Active,52,54118,2024-03-10,10,High,No
100031,31,Female,Hyderabad,108832,421014,846,Current,1576265,Active,36,46058,2019-10-24,10,Low,No
100032,54,Male,Hyderabad,128116,937819,787,Savings,2244233,Closed,86,106055,2022-10-10,10,Low,No
100033,33,Male,Vizag,69115,381145,801,Current,1281624,Closed,39,163522,2018-07-15,10,Low,No
100034,20,Male,Vizag,89449,289824,511,Savings,627534,Active,28,22969,2017-02-14,10,High,No
100035,46,Female,Mumbai,247869,1707026,845,Savings,4674265,Active,58,138083,2023-05-27,10,Low,No
100036,53,Female,Bangalore,87295,476242,685,Savings,1085981,"No Loan",55,239957,2024-06-02,10,Medium,No
100037,30,Male,Chennai,141888,738663,735,Savings,1554057,Active,77,332035,2015-09-22,10,Medium,No
100038,24,Female,Vizag,84895,415571,643,Savings,1185890,Active,40,155427,2023-10-28,10,Medium,No
100039,33,Male,Hyderabad,119780,594889,771,Savings,1656630,"No Loan",27,30873,2023-08-12,10,Low,No
100040,61,Male,Hyderabad,31542,143722,686,Savings,676172,"No Loan",10,49398,2019-02-28,8.34,Medium,No
100041,62,Male,Vizag,111792,858952,681,Current,1341991,"No Loan",55,202008,2016-12-14,10,Medium,No
100042,43,Male,Hyderabad,74482,262332,775,Savings,456281,Active,25,96430,2020-06-19,10,Low,No
100043,45,Female,Bangalore,68016,169859,766,Savings,1650370,Active,23,103733,2023-01-12,10,Low,No
100044,38,Male,Vizag,111362,687378,696,Savings,1958631,Closed,60,187764,2022-05-27,10,Medium,No
100045,40,Male,Vizag,119657,921654,801,Current,2082349,Active,60,125405,2023-11-24,10,Low,No
100046,45,Female,Bangalore,44835,354970,794,Savings,475038,Closed,28,30781,2024-11-27,10,Low,No
100047,23,Female,Bangalore,90990,683795,529,Savings,2031013,Active,39,161752,2015-08-12,10,High,No
100048,64,Male,Bangalore,63833,273546,576,Current,1045688,Active,13,7299,2022-11-10,10,High,No
100049,23,Female,Chennai,128142,832854,522,Current,2611501,"No Loan",50,126372,2020-03-16,10,High,No
100050,18,Male,Bangalore,97091,327376,531,Savings,576519,Active,24,63430,2017-02-09,10,High,No
100051,67,Female,Chennai,103963,557826,606,Current,1746486,Closed,57,192496,2020-10-23,10,Medium,No
100052,68,Male,Hyderabad,108587,855967,631,Current,1394787,Closed,59,165964,2023-04-20,10,Medium,No
100053,32,Female,Bangalore,83088,639538,833,Savings,1814793,"No Loan",21,69166,2019-01-13,10,Low,No
100055,42,Male,Vizag,53434,320889,771,Savings,506393,"No Loan",25,16078,2022-11-25,10,Low,No
100056,18,Male,Bangalore,189849,1398295,544,Savings,2170288,Active,100,280245,2015-04-17,10,High,No
100057,65,Male,Hyderabad,94291,644687,729,Savings,866250,Active,57,123126,2024-01-01,10,Medium,No
100058,19,Male,Hyderabad,176106,618945,610,Current,3854751,"No Loan",60,125619,2020-03-21,10,Medium,No
100059,32,Female,Bangalore,151076,467384,666,Savings,1394274,Active,49,155387,2019-05-23,10,Medium,No
100060,27,Male,Mumbai,164049,413653,683,Savings,2650186,Closed,34,68629,2022-07-02,10,Medium,No
100061,43,Female,Mumbai,115703,577298,770,Savings,1127472,Active,30,36691,2022-11-30,10,Low,No
100062,47,Male,Hyderabad,154040,382235,689,Savings,2917398,"No Loan",43,199016,2020-02-14,10,Medium,No
100063,23,Female,Bangalore,53234,368654,635,Savings,773617,"No Loan",43,159069,2016-12-24,10,Medium,No
100064,50,Female,Hyderabad,157534,983544,687,Current,2618965,Active,73,53524,2016-11-20,10,Medium,No
100065,27,Male,Hyderabad,163291,524226,733,Current,1648065,Closed,51,133726,2020-07-31,10,Medium,No
100066,52,Female,Hyderabad,113524,792819,727,Current,2685837,"No Loan",47,219444,2024-04-14,10,Medium,No
100067,39,Female,Chennai,38007,264819,709,Savings,314436,Active,36,102736,2015-05-12,10,Medium,No
100068,42,Male,Mumbai,83303,392498,681,Savings,1187367,Active,39,60253,2018-06-02,10,Medium,No
100069,64,Male,Mumbai,167796,1248206,728,Current,2287153,Active,100,125028,2019-07-05,10,Medium,No
100070,46,Male,Mumbai,180518,981820,834,Current,2028018,Active,38,116451,2024-11-02,10,Low,No
100071,22,Male,Chennai,76197,527858,608,Savings,575270,Active,33,50543,2022-12-01,10,Medium,No
100072,62,Female,Hyderabad,105683,555506,618,Savings,2275986,"No Loan",31,74591,2015-12-12,10,Medium,No
100073,63,Male,Hyderabad,103319,520245,660,Current,2016984,Closed,55,223045,2020-02-07,10,Medium,No
100074,59,Male,Mumbai,149945,361896,755,Savings,3551798,"No Loan",22,108499,2019-07-04,10,Low,No
100075,53,Female,Chennai,130158,503537,792,Savings,1689457,Active,52,27083,2017-07-25,10,Low,No
100076,52,Male,Bangalore,179649,861273,740,Savings,2523055,Active,38,49162,2020-06-13,10,Medium,No
100077,69,Female,Hyderabad,76240,318253,699,Savings,716804,Active,43,110314,2015-05-28,10,Medium,No
100078,39,Female,Mumbai,102823,515469,790,Savings,1331183,Closed,41,106888,2024-03-30,10,Low,No
100079,62,Male,Bangalore,133607,738141,664,Savings,1879286,Closed,50,150919,2017-04-10,10,Medium,No
100080,21,Male,Bangalore,52342,401813,609,Savings,812953,"No Loan",54,237679,2023-06-07,10,Medium,No
100081,18,Male,Hyderabad,60678,365970,553,Savings,715116,Closed,41,153490,2020-11-13,10,High,No
100082,41,Female,Mumbai,153453,1071304,814,Savings,1200253,Closed,38,127284,2021-01-07,10,Low,No
100083,38,Male,Hyderabad,174931,1024667,778,Current,3734579,Active,60,189379,2016-01-31,10,Low,No
100084,37,Male,Bangalore,172351,915577,821,Savings,1618412,"No Loan",43,130977,2020-10-07,10,Low,No
100086,46,Male,Mumbai,114532,241701,734,Current,2439656,Closed,18,49294,2016-08-10,10,Medium,No
100087,40,Male,Hyderabad,81226,601081,817,Savings,813446,Closed,52,222117,2023-04-17,10,Low,No
100088,45,Female,Mumbai,168575,695073,842,Current,1122030,Closed,44,79161,2024-10-23,10,Low,No
100090,34,Female,Vizag,58890,235881,722,Savings,382947,"No Loan",30,73701,2017-11-28,10,Medium,No
100091,52,Male,Hyderabad,116123,716267,747,Savings,820046,Active,86,348735,2024-12-19,10,Medium,No
100092,66,Male,Hyderabad,120327,788184,630,Current,2187023,Closed,49,132418,2024-12-21,10,Medium,No
100093,43,Male,Vizag,47935,298800,800,Current,772526,Closed,18,68212,2023-01-09,10,Low,No
100094,65,Female,Vizag,114934,778338,665,Current,2516018,Active,35,111412,2023-05-01,10,Medium,No
100095,61,Female,Bangalore,174055,808693,588,Savings,1967832,Closed,53,175775,2015-01-16,10,High,No
100096,62,Female,Vizag,94038,448717,800,Current,2115293,Closed,56,279479,2015-01-29,10,Low,No
100097,66,Male,Hyderabad,42984,235747,670,Savings,875389,Closed,29,45660,2020-08-12,10,Medium,No
100098,62,Female,Bangalore,152573,844438,730,Savings,3776860,Closed,73,108196,2020-08-03,10,Medium,No
100099,54,Male,Bangalore,171878,1250362,660,Current,3965995,"No Loan",47,108434,2024-12-25,10,Medium,No
100100,68,Male,Hyderabad,70042,214270,790,Savings,1691192,"No Loan",32,47150,2019-03-25,10,Low,No
100101,52,Female,Vizag,46172,164436,731,Savings,873593,Active,23,34665,2020-07-23,9.7,Medium,No
100102,42,Male,Vizag,103300,263303,716,Current,1080434,Closed,28,18463,2019-01-26,10,Medium,No
100103,57,Male,Mumbai,90106,332342,587,Savings,918637,"No Loan",21,31307,2023-04-09,10,High,No
100104,45,Male,Vizag,29516,144141,835,Savings,484840,Closed,26,98867,2015-08-04,9.33,Low,No
100105,36,Female,Mumbai,236154,699582,694,Savings,4474983,Closed,70,84960,2016-07-10,10,Medium,No
100106,68,Male,Chennai,135865,940142,588,Savings,1116157,"No Loan",74,39126,2018-06-01,10,High,No
100107,30,Female,Bangalore,168232,974211,837,Savings,871685,"No Loan",48,27980,2018-06-10,10,Low,No
100108,49,Female,Bangalore,131357,856735,797,Current,2463957,Active,75,60230,2017-06-04,10,Low,No
100109,18,Female,Mumbai,154682,1100483,674,Current,3770769,"No Loan",95,58010,2017-06-25,10,Medium,No
100110,50,Female,Bangalore,133106,467874,823,Savings,1912838,"No Loan",47,134965,2022-10-15,10,Low,No
100111,46,Male,Hyderabad,108797,367768,844,Savings,2613007,Active,46,109883,2015-03-25,10,Low,No
100112,23,Male,Bangalore,168386,651942,665,Savings,1616352,Active,52,112235,2018-07-18,10,Medium,No
100113,61,Female,Mumbai,61563,191655,602,Savings,497007,Closed,17,69455,2020-05-17,10,Medium,No
100114,41,Female,Vizag,35251,238974,848,Savings,264513,Closed,20,54243,2022-08-05,10,Low,No
100115,19,Female,Bangalore,125708,364236,563,Savings,1623003,"No Loan",42,164084,2020-08-05,10,High,No
100116,55,Male,Hyderabad,99298,261112,770,Savings,1630283,Active,21,43198,2017-07-24,10,Low,No
100117,49,Female,Bangalore,89153,464081,807,Savings,504968,Active,25,76348,2019-09-06,10,Low,No
100118,67,Male,Hyderabad,39078,235339,610,Current,747543,Active,24,70460,2024-06-03,10,Medium,No
100119,29,Female,Vizag,23389,156718,776,Savings,154421,"No Loan",26,65921,2016-05-29,9.64,Low,No
100120,58,Female,Chennai,141562,898771,561,Savings,1159519,"No Loan",96,193538,2020-04-11,10,High,No
100121,46,Male,Bangalore,132447,660801,795,Savings,2392689,Active,52,45077,2017-01-24,10,Low,No
100122,52,Male,Hyderabad,85230,274565,698,Savings,1906207,"No Loan",30,61701,2018-10-19,10,Medium,No
100123,37,Female,Hyderabad,146400,744293,766,Savings,1890068,Closed,76,262013,2017-01-24,10,Low,No
100124,68,Female,Vizag,68364,327796,774,Savings,521709,"No Loan",29,45499,2021-07-09,10,Low,No
100125,19,Male,Bangalore,165932,767102,624,Savings,2307467,Closed,62,76623,2023-01-17,10,Medium,No
100126,42,Male,Bangalore,104674,621807,817,Savings,1776765,Active,32,143254,2016-09-21,10,Low,No
100127,31,Female,Mumbai,160585,966134,782,Savings,1601720,Closed,47,58951,2023-09-28,10,Low,No
100128,60,Male,Bangalore,55563,269357,593,Savings,773846,"No Loan",30,19615,2021-07-09,10,High,No
100129,19,Male,Mumbai,131155,302991,534,Current,1841938,"No Loan",28,19238,2016-05-04,10,High,No
100130,37,Male,Bangalore,166945,657560,688,Current,2353055,Closed,60,67705,2021-08-28,10,Medium,No
100131,62,Female,Chennai,73753,471826,634,Savings,507274,Closed,53,68750,2023-12-09,10,Medium,No
100132,43,Male,Mumbai,226481,784730,696,Current,3717050,Active,77,272911,2023-10-24,10,Medium,No
100133,48,Female,Chennai,140169,573493,841,Savings,836001,"No Loan",62,249285,2022-03-21,10,Low,No
100134,48,Male,Hyderabad,144044,949414,668,Current,3047527,"No Loan",69,288437,2018-09-29,10,Medium,No
100135,24,Male,Bangalore,129152,542279,648,Savings,1628399,Closed,48,119994,2020-11-19,10,Medium,No
100136,43,Male,Mumbai,231305,1516450,734,Savings,5150392,Closed,45,91602,2015-01-12,10,Medium,No
100137,22,Female,Mumbai,198670,1033404,675,Current,3176392,"No Loan",79,331860,2022-04-20,10,Medium,No
100138,33,Male,Hyderabad,69310,239874,664,Current,619845,Closed,15,49171,2016-01-08,10,Medium,No
100139,69,Female,Bangalore,184539,966055,713,Savings,3571330,Active,100,285116,2018-07-10,10,Medium,No
100140,48,Female,Hyderabad,102588,318793,819,Savings,892984,"No Loan",19,79246,2018-04-10,10,Low,No
100141,62,Female,Hyderabad,118204,663085,763,Current,1994192,"No Loan",37,78568,2022-06-22,10,Low,No
100143,67,Male,Hyderabad,47633,230417,699,Savings,260684,Closed,28,43225,2022-03-22,10,Medium,No
100144,30,Male,Hyderabad,47727,134525,716,Savings,661226,Closed,18,36628,2021-06-07,8.31,Medium,No
100145,36,Female,Chennai,106329,790359,685,Current,713804,"No Loan",44,66877,2021-10-08,10,Medium,No
100146,56,Female,Bangalore,104315,250948,576,Current,1857157,Active,32,49239,2015-02-27,10,High,No
100147,20,Female,Mumbai,190273,794896,529,Current,2220750,Closed,83,278657,2024-03-28,10,High,No
100148,33,Female,Hyderabad,154982,1013114,789,Savings,3816389,Closed,40,195349,2016-09-21,10,Low,No
100149,22,Female,Vizag,61323,212296,583,Savings,1071417,Active,22,92780,2024-11-30,10,High,No
100150,69,Female,Hyderabad,177235,676819,615,Savings,2236384,Active,49,206475,2019-09-22,10,Medium,No
100151,40,Female,Mumbai,130373,979929,735,Savings,2129187,Active,63,184514,2018-12-23,10,Medium,No
100152,52,Female,Vizag,83133,526109,656,Savings,922242,Active,28,101563,2024-09-07,10,Medium,No
100153,31,Female,Mumbai,176728,963340,682,Savings,4145180,Closed,92,118383,2023-01-25,10,Medium,No
100154,52,Male,Chennai,131268,282865,717,Savings,866277,"No Loan",25,117850,2024-11-12,10,Medium,No
100155,35,Male,Hyderabad,108213,216641,779,Savings,1948269,Active,23,59089,2016-10-03,10,Low,No
100156,28,Female,Hyderabad,149863,567101,786,Savings,1175673,Active,25,90368,2022-09-12,10,Low,No
100157,50,Female,Mumbai,94823,652744,701,Savings,803629,Closed,68,276380,2019-05-17,10,Medium,No
100158,52,Male,Mumbai,67605,470884,735,Savings,1641209,Active,32,129808,2022-06-01,10,Medium,No
100159,27,Male,Hyderabad,166614,951980,830,Savings,3504016,"No Loan",39,115666,2016-12-03,10,Low,No
100160,38,Female,Bangalore,69300,341610,701,Savings,683960,Closed,40,174721,2022-02-14,10,Medium,No
100161,38,Female,Vizag,73352,191661,818,Savings,1376281,Closed,25,16822,2021-03-29,10,Low,No
100162,38,Female,Mumbai,199674,938616,794,Savings,1264543,Closed,81,227204,2020-11-18,10,Low,No
100163,25,Male,Hyderabad,93530,556897,801,Savings,534188,Closed,42,208410,2016-03-11,10,Low,No
100164,32,Male,Mumbai,104027,429532,654,Savings,1893921,"No Loan",18,15655,2024-01-05,10,Medium,No
100165,34,Male,Chennai,157896,1240422,844,Current,1172808,Closed,100,288635,2015-07-09,10,Low,No
100166,67,Female,Chennai,167050,1316324,730,Current,3909962,Closed,57,39718,2021-05-09,10,Medium,No
100167,57,Female,Hyderabad,100119,459792,766,Savings,828352,Active,52,142075,2020-11-30,10,Low,No
100168,38,Male,Mumbai,160029,1147123,824,Current,1607462,"No Loan",100,377820,2016-10-08,10,Low,No
100169,40,Female,Hyderabad,88005,695945,678,Current,1721284,Active,34,164664,2019-01-26,10,Medium,No
100170,68,Male,Chennai,87804,393405,646,Savings,1331741,Active,43,190487,2024-05-31,10,Medium,No
100171,42,Female,Bangalore,128199,611425,778,Savings,2542729,"No Loan",30,133775,2024-10-02,10,Low,No
100172,42,Female,Chennai,110102,626466,761,Current,2276450,Closed,55,36239,2021-03-06,10,Low,No
100173,31,Female,Chennai,70372,296100,719,Savings,1585693,"No Loan",27,101231,2022-01-27,10,Medium,No
100174,52,Female,Bangalore,143892,289407,687,Savings,1199728,Active,25,110854,2024-01-06,10,Medium,No
100175,31,Male,Hyderabad,149119,499941,769,Current,2545424,Closed,37,155870,2024-04-13,10,Low,No
100176,63,Male,Hyderabad,72092,466835,666,Current,1497516,Closed,26,51398,2018-04-21,10,Medium,No
100177,50,Female,Bangalore,124730,849186,706,Current,2951394,Closed,71,286515,2020-07-03,10,Medium,No
100178,32,Female,Vizag,77418,498565,718,Current,672725,Active,21,12786,2021-04-20,10,Medium,No
100179,62,Female,Mumbai,123820,829035,584,Savings,1683102,"No Loan",46,189147,2023-08-12,10,High,No
100180,22,Female,Hyderabad,176150,1307645,523,Current,3450807,"No Loan",97,107582,2024-11-23,10,High,No
100181,37,Female,Bangalore,194324,469049,807,Savings,1112651,Active,48,234564,2024-07-03,10,Low,No
100182,48,Female,Chennai,79733,190737,833,Savings,472817,Closed,22,42203,2020-07-03,10,Low,No
100183,24,Female,Vizag,34289,219267,642,Savings,776395,Active,35,115847,2015-06-14,10,Medium,No
100184,38,Female,Hyderabad,152788,823830,738,Savings,3657854,"No Loan",25,93500,2017-06-13,10,Medium,No
100185,59,Male,Vizag,39446,207905,610,Current,875811,"No Loan",21,61864,2017-08-23,10,Medium,No
100186,63,Female,Chennai,43140,122765,606,Savings,792932,Closed,20,59088,2015-12-10,7.53,Medium,No
100187,64,Female,Hyderabad,100202,476504,612,Savings,1497530,Active,48,187819,2017-06-02,10,Medium,No
100188,39,Male,Hyderabad,126468,753468,663,Savings,1236341,Closed,81,50402,2019-11-19,10,Medium,No
100189,20,Female,Bangalore,81971,556588,522,Savings,1757627,Active,70,99186,2015-01-08,10,High,No
100190,41,Female,Chennai,105939,387593,786,Savings,1368669,"No Loan",25,90788,2024-02-22,10,Low,No
100191,19,Male,Mumbai,51116,380142,539,Savings,773948,Closed,24,91124,2016-11-18,10,High,No
100192,60,Male,Bangalore,51205,399733,686,Savings,1078995,Closed,40,197139,2024-11-13,10,Medium,No
100193,47,Male,Bangalore,73691,537322,777,Savings,387036,Closed,54,243332,2024-06-15,10,Low,No
100194,22,Male,Hyderabad,127756,482782,633,Current,2453535,Active,53,136034,2022-08-04,10,Medium,No
100195,41,Female,Chennai,30587,122692,670,Savings,222026,Active,22,100630,2021-06-12,7.8,Medium,No
100196,64,Female,Chennai,135400,624604,566,Savings,2955639,Closed,63,67296,2021-05-08,10,High,No
100197,51,Female,Bangalore,181559,438981,850,Savings,3287243,"No Loan",17,34539,2016-03-17,10,Low,No
100198,42,Male,Bangalore,142932,314326,695,Savings,2885078,"No Loan",35,26807,2023-12-23,10,Medium,No
100199,35,Male,Vizag,92954,186013,747,Savings,1295882,Closed,29,64142,2019-04-15,10,Medium,No
100200,31,Male,Bangalore,179544,813094,751,Savings,1903300,"No Loan",84,326997,2021-05-20,10,Low,No
100201,37,Male,Vizag,92766,496772,770,Savings,986141,"No Loan",44,129058,2023-03-03,10,Low,No
100202,34,Female,Hyderabad,167888,807979,702,Savings,1837493,Active,35,159705,2019-12-05,10,Medium,No
100203,19,Male,Bangalore,94869,697649,682,Savings,1482454,"No Loan",47,80134,2016-05-08,10,Medium,No
100204,67,Male,Mumbai,221572,778569,721,Savings,1617178,Active,75,317384,2016-12-28,10,Medium,No
100205,49,Male,Hyderabad,62174,155014,823,Current,1273173,Closed,26,84029,2019-04-23,9.72,Low,No
100206,37,Male,Chennai,58803,356261,653,Savings,746223,Closed,48,153740,2023-03-18,10,Medium,No
100207,58,Male,Bangalore,80197,589358,610,Savings,1158835,Active,31,151028,2020-11-10,10,Medium,No
100208,62,Male,Mumbai,113869,645031,605,Savings,1914974,Closed,33,140247,2016-02-08,10,Medium,No
100209,50,Female,Bangalore,43828,238086,756,Savings,258048,Active,27,112912,2019-12-18,10,Low,No
100210,68,Male,Mumbai,108648,236636,787,Current,2700591,Active,21,50362,2024-04-26,10,Low,No
100211,25,Female,Mumbai,243196,937821,752,Current,5856320,"No Loan",36,134246,2021-10-14,10,Low,No
100212,40,Male,Mumbai,63377,224365,810,Savings,895183,Active,18,69845,2015-11-28,10,Low,No
100213,68,Male,Chennai,101425,609709,743,Current,2308512,Closed,31,31645,2024-12-01,10,Medium,No
100214,45,Male,Chennai,90058,580503,780,Savings,1412050,Active,36,65796,2020-01-31,10,Low,No
100215,62,Male,Hyderabad,104964,718807,702,Savings,2055559,Closed,71,172862,2022-04-12,10,Medium,No
100216,62,Male,Mumbai,246821,1662070,647,Savings,3130873,Closed,100,94493,2023-08-13,10,Medium,No
100217,65,Female,Bangalore,106677,664972,716,Current,1625077,Active,30,117857,2022-02-19,10,Medium,No
100218,37,Male,Hyderabad,70379,300761,775,Savings,1190796,Active,36,154359,2019-01-03,10,Low,No
100219,29,Female,Bangalore,45744,130064,769,Savings,1122971,Closed,10,14398,2015-12-29,8.07,Low,No
100220,44,Female,Bangalore,189765,1240547,679,Savings,1442395,"No Loan",72,189578,2022-05-17,10,Medium,No
100221,21,Female,Chennai,48800,123425,625,Savings,624134,Active,17,20292,2021-06-10,7.53,Medium,No
100222,30,Female,Hyderabad,116836,818073,691,Savings,2516215,"No Loan",57,202249,2019-04-06,10,Medium,No
100223,61,Male,Mumbai,246322,736860,674,Savings,3419164,Closed,50,248615,2020-11-21,10,Medium,No
100224,39,Male,Chennai,114754,368116,677,Savings,2530458,"No Loan",29,91888,2020-03-04,10,Medium,No
100225,28,Female,Mumbai,190667,424784,654,Current,3981930,Active,58,67835,2021-01-03,10,Medium,No
100226,43,Female,Hyderabad,125071,619299,751,Savings,1932207,Closed,54,250252,2021-12-21,10,Low,No
100227,67,Male,Vizag,89338,397152,788,Savings,1471448,"No Loan",19,82513,2021-07-12,10,Low,No
100228,66,Male,Vizag,100018,387209,618,Savings,1521138,Closed,27,71436,2024-05-13,10,Medium,No
100229,39,Male,Vizag,39337,110403,843,Savings,458989,"No Loan",22,109064,2024-06-03,7.89,Low,No
100230,25,Female,Chennai,41590,83758,685,Savings,901791,"No Loan",13,51481,2023-10-05,6.02,Medium,No
100231,26,Male,Vizag,114754,651989,658,Savings,2233455,Active,29,54450,2017-06-28,10,Medium,No
100232,30,Male,Mumbai,238700,1845315,665,Savings,4448168,Active,90,238695,2021-06-27,10,Medium,No
100233,19,Female,Bangalore,50350,164477,694,Savings,1060857,"No Loan",26,50614,2019-05-08,9.67,Medium,No
100234,56,Male,Mumbai,193245,1521589,602,Current,2574492,"No Loan",100,440120,2023-08-12,10,Medium,No
100235,27,Female,Mumbai,65235,397653,805,Savings,632327,Active,35,36392,2023-07-28,10,Low,No
100236,40,Female,Bangalore,183309,1336680,776,Current,1115736,"No Loan",36,100802,2023-10-31,10,Low,No
100237,35,Female,Mumbai,193808,460514,818,Current,2288371,"No Loan",49,206790,2019-07-01,10,Low,No
100238,36,Male,Chennai,166643,1122106,790,Current,2240963,Active,100,102210,2016-04-15,10,Low,No
100239,43,Male,Bangalore,132122,933506,824,Current,1101773,"No Loan",100,392467,2019-12-14,10,Low,No
100240,21,Male,Vizag,91368,240497,639,Savings,2283224,Active,24,105508,2018-10-10,10,Medium,No
100241,64,Female,Hyderabad,153106,645935,782,Savings,1335154,Closed,61,132383,2023-11-12,10,Low,No
100242,28,Female,Vizag,71168,482337,811,Savings,917689,"No Loan",44,214969,2017-07-28,10,Low,No
100243,38,Female,Chennai,84336,619135,662,Savings,519664,Active,38,161867,2016-07-11,10,Medium,No
100244,30,Male,Vizag,56609,119782,787,Savings,318620,"No Loan",21,35700,2016-06-24,8.04,Low,No
100245,60,Male,Vizag,105179,461303,668,Current,2154047,"No Loan",58,61768,2019-09-02,10,Medium,No
100246,64,Female,Bangalore,121029,558312,702,Savings,2476596,Closed,37,18725,2022-02-15,10,Medium,No
100247,53,Male,Vizag,84110,509158,657,Savings,1738046,"No Loan",38,70798,2015-07-14,10,Medium,No
100248,46,Male,Vizag,107265,526077,821,Current,660418,"No Loan",62,307580,2016-03-09,10,Low,No
100249,28,Male,Mumbai,89429,375072,848,Savings,698982,Closed,41,47614,2021-11-08,10,Low,No
100250,57,Female,Bangalore,114218,783439,651,Current,1234706,Closed,78,60833,2019-11-12,10,Medium,No
100251,67,Male,Bangalore,153000,716964,727,Savings,1688865,"No Loan",79,381601,2024-06-23,10,Medium,No
100252,55,Female,Chennai,69121,365038,652,Savings,574740,Closed,16,68742,2021-07-06,10,Medium,No
100253,30,Female,Vizag,33979,202334,717,Savings,816467,"No Loan",35,107202,2018-03-08,10,Medium,No
100254,54,Male,Vizag,58870,143553,803,Savings,311057,"No Loan",22,80132,2020-01-09,9.08,Low,No
100255,33,Female,Vizag,28711,85272,745,Savings,321563,Active,18,86773,2022-09-02,6.43,Medium,No
100256,39,Male,Bangalore,117960,827188,805,Current,1129294,Closed,46,198544,2021-11-08,10,Low,No
100257,65,Male,Bangalore,121050,263285,690,Savings,606321,"No Loan",33,158294,2020-12-16,10,Medium,No
100258,49,Male,Chennai,115744,672780,743,Savings,2704766,"No Loan",46,186022,2015-04-26,10,Medium,No
100259,46,Female,Mumbai,106641,633424,707,Savings,2404446,"No Loan",60,232978,2020-04-08,10,Medium,No
100260,18,Male,Hyderabad,64540,216166,638,Savings,1049839,Closed,28,32120,2021-02-24,10,Medium,No
100261,64,Male,Vizag,65607,289041,572,Savings,953054,Closed,27,36115,2023-10-24,10,High,No
100262,65,Male,Hyderabad,93353,713656,744,Savings,644234,"No Loan",61,242937,2022-01-27,10,Medium,No
